meter_id,group_id,model,fold,train_start,train_end,validation_start,validation_end,n_train,n_valid,wape,mae,status,error
M0004,G04,weighted_baseline,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.13363035649423777,2.2673115701264175,ok,
M0004,G04,holt_winters,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.14251333488633613,2.4180294175824035,ok,
M0004,G04,sarimax,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.096714026118829,1.64095072531057,ok,
M0005,G05,seasonal_naive,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.07787043591241846,1.128405500207503,ok,
M0005,G05,weighted_baseline,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.13303067829745763,1.9277219567130581,ok,
M0005,G05,holt_winters,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.13181323171295958,1.9100801725614769,ok,
M0005,G05,sarimax,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.06714553123628735,0.9729929706133605,ok,
M0005,G05,seasonal_naive,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.10730137141803024,1.5662095894866284,ok,
M0005,G05,weighted_baseline,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.15602940726996056,2.277461608166023,ok,
M0005,G05,holt_winters,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.11840117035371521,1.7282262655523555,ok,
M0005,G05,sarimax,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.08021832826767834,1.170895705479423,ok,
M0006,G06,seasonal_naive,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.11409141748962823,0.7184901725305327,ok,
M0006,G06,weighted_baseline,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.12860438037557528,0.8098854889994621,ok,
M0006,G06,holt_winters,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.16548282582289095,1.0421273281764398,ok,
M0006,G06,sarimax,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.0962970868285537,0.6064304577154105,ok,
M0006,G06,seasonal_naive,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.09978865341539865,0.6095389183740695,ok,
M0006,G06,weighted_baseline,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.11614564985745608,0.7094523411721134,ok,
M0006,G06,holt_winters,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.17452847352232795,1.0660720766862373,ok,
M0006,G06,sarimax,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.08715858101491261,0.5323906614682351,ok,
M0007,G07,seasonal_naive,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.1192528042339011,0.8550075389666237,ok,
M0007,G07,weighted_baseline,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.12437265870591817,0.8917153899904081,ok,
M0007,G07,holt_winters,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.14768272828181755,1.0588417343079763,ok,
M0007,G07,sarimax,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.0911112533756529,0.6532408945963879,ok,
M0007,G07,seasonal_naive,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.14680929370458473,0.9625944260918929,ok,
M0007,G07,weighted_baseline,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.16584858995348395,1.0874306676092809,ok,
M0007,G07,holt_winters,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.1244927946948808,0.816270327565456,ok,
M0007,G07,sarimax,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.09206527485300776,0.6036506148476608,ok,
M0008,G08,seasonal_naive,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.08276963550427612,0.7898715129544774,ok,
M0008,G08,weighted_baseline,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.08764841189639638,0.8364297280140512,ok,
M0008,G08,holt_winters,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.25213072028703554,2.4060861484056457,ok,
M0008,G08,sarimax,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.10451496551491732,0.9973874287919008,ok,
M0008,G08,seasonal_naive,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.07194475584049262,0.7187710097092816,ok,
M0008,G08,weighted_baseline,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.0904471555834576,0.9036210156608014,ok,
M0008,G08,holt_winters,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.1639296143495495,1.637754594490706,ok,
M0008,G08,sarimax,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.06448931891133561,0.6442867492959885,ok,
M0009,G09,seasonal_naive,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.10984098620401771,1.208875678195654,ok,
M0009,G09,weighted_baseline,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.17463609490985632,1.9219904606416502,ok,
M0009,G09,holt_winters,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.0929014171257865,1.0224440576732972,ok,
M0009,G09,sarimax,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.09261774864893617,1.0193220907811003,ok,
M0009,G09,seasonal_naive,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.10257915843226835,1.1255680770325431,ok,
M0009,G09,weighted_baseline,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.2038538456430677,2.236822611365644,ok,
M0009,G09,holt_winters,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.073849559021207,0.8103274330534315,ok,
M0009,G09,sarimax,2,2025-12-06 00:00:00,2026-01-30 23:00:00,2026-01-31 00:00:00,2026-01-31 23:00:00,1344,24,0.06876883149128311,0.7545782457605886,ok,
M0010,G10,seasonal_naive,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.10540294721518265,1.7208317526480557,ok,
M0010,G10,weighted_baseline,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.11131537116928517,1.8173592895352886,ok,
M0010,G10,holt_winters,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.20562408727153475,3.357064179275272,ok,
M0010,G10,sarimax,1,2025-11-29 00:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,2026-01-24 23:00:00,1344,24,0.08812988014891077,1.4388278518218511,ok,
