timestamp,forecast_kwh
2026-02-01 00:00:00,980.1136245566287
2026-02-01 01:00:00,956.9238844054961
2026-02-01 02:00:00,954.6960465680722
2026-02-01 03:00:00,943.40197811355
2026-02-01 04:00:00,949.1419109448531
2026-02-01 05:00:00,930.2634565325861
2026-02-01 06:00:00,922.4034318455855
2026-02-01 07:00:00,922.9770065562127
2026-02-01 08:00:00,932.5483474374339
2026-02-01 09:00:00,932.1060316998896
2026-02-01 10:00:00,941.8437058662678
2026-02-01 11:00:00,942.0551605073715
2026-02-01 12:00:00,938.5003515616133
2026-02-01 13:00:00,947.1686056155963
2026-02-01 14:00:00,957.2988425116985
2026-02-01 15:00:00,957.1773713682046
2026-02-01 16:00:00,955.2107904012116
2026-02-01 17:00:00,961.2329034327379
2026-02-01 18:00:00,954.6155618798615
2026-02-01 19:00:00,1028.717375214358
2026-02-01 20:00:00,960.7137958967388
2026-02-01 21:00:00,965.9012592599681
2026-02-01 22:00:00,955.2738712387992
2026-02-01 23:00:00,966.1009254669492
